iter	MultiClass
0	1.846486093
1	1.769816479
2	1.71341258
3	1.664232874
4	1.624239493
5	1.584603008
6	1.54479806
7	1.511804019
8	1.479292298
9	1.444716173
10	1.417793871
11	1.390508862
12	1.365510038
13	1.343215783
14	1.323192046
15	1.303065501
16	1.289169831
17	1.274024546
18	1.258550263
19	1.243640178
20	1.226927568
21	1.215025765
22	1.204326648
23	1.191974427
24	1.176536384
25	1.169144551
26	1.159292808
27	1.152916012
28	1.143136724
29	1.134559422
30	1.125639037
31	1.118494871
32	1.108523781
33	1.101880362
34	1.094401399
35	1.085867878
36	1.078708834
37	1.073894414
38	1.067922821
39	1.059443555
40	1.053907197
41	1.048830792
42	1.042263002
43	1.037934796
44	1.030889156
45	1.026895241
46	1.021785554
47	1.014900828
48	1.009135935
49	1.006828568
50	1.000073701
51	0.9914234701
52	0.9861212315
53	0.9824758918
54	0.9778449858
55	0.9738030391
56	0.9695406196
57	0.9665091706
58	0.961102818
59	0.9570042477
60	0.9492261302
61	0.9449126806
62	0.9398606413
63	0.9338415383
64	0.9281669108
65	0.9250221798
66	0.9225980975
67	0.9205555799
68	0.9169534657
69	0.9125592644
70	0.908199772
71	0.9030622145
72	0.8999730977
73	0.897561776
74	0.8921553699
75	0.8899000274
76	0.887956809
77	0.8855938785
78	0.88093407
79	0.8782139784
80	0.8754442135
81	0.869904235
82	0.86629294
83	0.8644765559
84	0.8624479999
85	0.8594588194
86	0.8557700582
87	0.8534572033
88	0.8503729906
89	0.8453127923
90	0.8422399045
91	0.8364602164
92	0.8342693896
93	0.8322239346
94	0.8279691978
95	0.8242174305
96	0.8230096802
97	0.8205999978
98	0.8185311354
99	0.8147180215
