iter	Passed	Remaining
0	57	5688
1	103	5095
2	150	4874
3	196	4724
4	244	4645
5	285	4479
6	329	4382
7	373	4299
8	418	4235
9	464	4177
10	512	4146
11	556	4078
12	599	4010
13	645	3966
14	687	3895
15	730	3835
16	768	3750
17	808	3682
18	849	3622
19	891	3564
20	931	3505
21	972	3447
22	1015	3398
23	1058	3351
24	1105	3315
25	1147	3265
26	1187	3211
27	1229	3162
28	1270	3109
29	1313	3065
30	1354	3014
31	1395	2965
32	1438	2921
33	1481	2875
34	1526	2834
35	1565	2782
36	1603	2730
37	1640	2676
38	1676	2621
39	1722	2584
40	1769	2545
41	1809	2498
42	1850	2453
43	1888	2404
44	1932	2361
45	1971	2313
46	2008	2264
47	2050	2221
48	2089	2174
49	2126	2126
50	2169	2084
51	2216	2045
52	2253	1998
53	2287	1948
54	2328	1905
55	2367	1860
56	2405	1814
57	2443	1769
58	2490	1730
59	2536	1690
60	2581	1650
61	2619	1605
62	2662	1563
63	2706	1522
64	2750	1480
65	2788	1436
66	2825	1391
67	2867	1349
68	2905	1305
69	2949	1264
70	2991	1221
71	3035	1180
72	3077	1138
73	3117	1095
74	3164	1054
75	3200	1010
76	3245	969
77	3289	927
78	3336	886
79	3373	843
80	3416	801
81	3463	760
82	3506	718
83	3544	675
84	3585	632
85	3627	590
86	3675	549
87	3717	506
88	3763	465
89	3809	423
90	3850	380
91	3896	338
92	3943	296
93	3978	253
94	4022	211
95	4063	169
96	4100	126
97	4143	84
98	4178	42
99	4223	0
